"produk_gambar","produk_url","produk_nama","produk_nama_url","produk_spesifikasi","produk_harga_name"
"https://pemmz.com/pub/media/catalog/product/cache/5d050b79bdc5a2702f8b48e75592b2a0/n/e/new3.jpg","https://pemmz.com/notebook/by-use/office-computing/hp-14s-dk1123au-athlon-3150u.html","HP 14S - dk1123AU | Athlon-3150U | SSD 512GB |…","https://pemmz.com/notebook/by-use/office-computing/hp-14s-dk1123au-athlon-3150u.html","14""HD,Athlon™ Gold 3150U,4GB DDR4,512GB SSD,INTEGRATED GRAPHICS,WIN…","Rp 5,599,000"
"https://pemmz.com/pub/media/catalog/product/cache/5d050b79bdc5a2702f8b48e75592b2a0/t/r/tr1_3.jpg","https://pemmz.com/hp-pavilion-gaming-15-ec0107ax-r5-3550.html","HP Pavilion Gaming 15 - EC0107AX | R5-3550H |…","https://pemmz.com/hp-pavilion-gaming-15-ec0107ax-r5-3550.html","15.6"" FHD, AMD Ryzen 5 3550H, RAM 8GB DDR4, SSD 512GB, VGA GeForce…","Rp 11,999,000"
"https://pemmz.com/pub/media/catalog/product/cache/5d050b79bdc5a2702f8b48e75592b2a0/o/m/omen_15_2020_-_amd_-_02.jpg","https://pemmz.com/hp-omen-15-en0013ax-r7-4800h-ssd-512gb.html","HP OMEN 15 - EN0013AX | R7-4800H | SSD 512GB |…","https://pemmz.com/hp-omen-15-en0013ax-r7-4800h-ssd-512gb.html","15.6"" FHD 144Hz, Ryzen™ 7 4800H,16GB DDR4, SSD 512GB, Nvidia…","Rp 18,849,000"
"https://pemmz.com/pub/media/catalog/product/cache/5d050b79bdc5a2702f8b48e75592b2a0/o/m/omen_15_2020_-_amd_-_02.jpg","https://pemmz.com/hp-omen-15-en0013ax-r7-4800h-ssd-512gb.html","HP OMEN 15 - EN0013AX | R7-4800H | SSD 512GB |…","https://pemmz.com/hp-omen-15-en0013ax-r7-4800h-ssd-512gb.html","15.6"" FHD 144Hz, Ryzen™ 7 4800H,16GB DDR4, SSD 512GB, Nvidia…","Rp 18,999,000"
"https://pemmz.com/pub/media/catalog/product/cache/5d050b79bdc5a2702f8b48e75592b2a0/s/l/sl5_1_2.jpg","https://pemmz.com/notebook/new-products/hp-14s-dk10123au-athlon-3150u-ssd-512gb-gold.html","HP 14S - dk10123AU | Athlon-3150U | SSD 512GB |…","https://pemmz.com/notebook/new-products/hp-14s-dk10123au-athlon-3150u-ssd-512gb-gold.html","14""HD,Athlon™ Gold 3150U,4GB DDR4,512GB SSD,INTEGRATED GRAPHICS,WIN…","Rp 5,599,000"
"https://pemmz.com/pub/media/catalog/product/cache/5d050b79bdc5a2702f8b48e75592b2a0/s/l/sl3_6_1_1_2_1.jpg","https://pemmz.com/notebook/by-profession/student-pelajar/hp-14s-dk1122au-athlon-3150u-ssd-512gb-silver.html","HP 14S - dk1122AU | Athlon-3150U | SSD 512GB |…","https://pemmz.com/notebook/by-profession/student-pelajar/hp-14s-dk1122au-athlon-3150u-ssd-512gb-silver.html","14"" HD, Athlon Gold 3150U, RAM 4GB DDR4, 512GB SSD, VGA Radeon Vega…","Rp 5,799,000"
"https://pemmz.com/pub/media/catalog/product/cache/5d050b79bdc5a2702f8b48e75592b2a0/s/l/sl3_6_1_1_2_1.jpg","https://pemmz.com/notebook/by-profession/student-pelajar/hp-14s-dk1122au-athlon-3150u-ssd-512gb-silver.html","HP 14S - dk1122AU | Athlon-3150U | SSD 512GB |…","https://pemmz.com/notebook/by-profession/student-pelajar/hp-14s-dk1122au-athlon-3150u-ssd-512gb-silver.html","14"" HD, Athlon Gold 3150U, RAM 4GB DDR4, 512GB SSD, VGA Radeon Vega…","Rp 6,999,000"
"https://pemmz.com/pub/media/catalog/product/cache/5d050b79bdc5a2702f8b48e75592b2a0/s/l/sl5_6_1_1.jpg","https://pemmz.com/notebook/by-cpus/10th-gen-intel-core-i3-i5-i7-i9/hp-14s-cf3039tu-i3-10051g1-hdd-1tb-gold.html","HP 14S - cf3039TU | i3-10051G1 | HDD 1TB | GOLD","https://pemmz.com/notebook/by-cpus/10th-gen-intel-core-i3-i5-i7-i9/hp-14s-cf3039tu-i3-10051g1-hdd-1tb-gold.html","14""HD,Core™ i3-1005G1,4GB DDR4,1TB HDD,INTEGRATED GRAPHICS,WIN…","Rp 6,899,000"
"https://pemmz.com/pub/media/catalog/product/cache/5d050b79bdc5a2702f8b48e75592b2a0/s/l/sl1_9_2_1.jpg","https://pemmz.com/notebook/by-cpus/10th-gen-intel-core-i3-i5-i7-i9/hp-14s-cf3040tu-i3-10051g1-hdd-1tb-silver.html","HP 14S - cf3040TU | i3-10051G1 | HDD 1TB | SILVER","https://pemmz.com/notebook/by-cpus/10th-gen-intel-core-i3-i5-i7-i9/hp-14s-cf3040tu-i3-10051g1-hdd-1tb-silver.html","14""HD,Core™ i3-1005G1,4GB DDR4,1TB HDD,INTEGRATED GRAPHICS,WIN…","Rp 6,199,000"
"https://pemmz.com/pub/media/catalog/product/cache/5d050b79bdc5a2702f8b48e75592b2a0/s/l/sl5_6_1.jpg","https://pemmz.com/notebook/by-cpus/10th-gen-intel-core-i3-i5-i7-i9/hp-14s-cf3021tx-i5-1035g1-hdd-1tb-gold.html","HP 14S - cf3021TX | i5-1035G1 | HDD 1TB | GOLD*","https://pemmz.com/notebook/by-cpus/10th-gen-intel-core-i3-i5-i7-i9/hp-14s-cf3021tx-i5-1035g1-hdd-1tb-gold.html","14""HD, Intel Core™ i5-1035G1, RAM 4GB DDR4, HDD 1TB, VGA RADEON 620…","Rp 9,099,000"
"https://pemmz.com/pub/media/catalog/product/cache/5d050b79bdc5a2702f8b48e75592b2a0/s/l/sl1_9_2.jpg","https://pemmz.com/hp-14s-cf3020tx-i5-1035g1-hdd-1tb-silver.html","HP 14S - cf3020TX | i5-1035G1 | HDD 1TB | SILVER*","https://pemmz.com/hp-14s-cf3020tx-i5-1035g1-hdd-1tb-silver.html","14""HD, Core™ i5-1035G1RAM 4GB DDR4, HDD 1TB, VGA RADEON 620 2GB,…","Rp 9,099,000"
"https://pemmz.com/pub/media/catalog/product/cache/5d050b79bdc5a2702f8b48e75592b2a0/s/l/sl5_6.jpg","https://pemmz.com/notebook/by-cpus/10th-gen-intel-core-i3-i5-i7-i9/hp-14s-cf3018tx-i5-1035g1-ssd-512gb-gold.html","HP 14S - cf3018TX | i5-1035G1 | SSD 512GB | GOLD","https://pemmz.com/notebook/by-cpus/10th-gen-intel-core-i3-i5-i7-i9/hp-14s-cf3018tx-i5-1035g1-ssd-512gb-gold.html","14""FHD,Core™ i5-1035G1,8GB DDR4,SSD 512GB,RADEON 620 2GB,WIN 10+OHS…","Rp 9,599,000"
